title,comments,age,thread
warren zevon lawyers guns money,2,52686.04516872566,rock
smashing pumpkins bassist melissa auf der mauer cars frontman ric ocasek next right moment,0,52115.52850205899,rock
melodious zach rebirth,0,51975.245168725654,rock
tegan sara hell,0,51984.34516872565,rock
ezra furman calm aka alone lyric video,0,52027.36183539232,rock
hoping find info jacket passed,4,52186.19516872565,rock
real rock fan know guys,0,52063.32850205898,rock
sun kil moon carry ohio folk rock,0,52321.02850205899,rock
jansport narrows,0,52337.31183539231,rock
lynyrd skynyrd sweet home alabama,25,53740.67850205898,rock
mr bungle none knew robots,0,53277.995168725654,rock
god god feel bass,0,52681.82850205898,rock
new rock biopics good bad thing,4,53063.07850205898,rock
interview alternative metal band awake days italy first u tour,0,53086.67850205898,rock
robert plant calling,0,53473.57850205898,rock
motorhead killed death want song played funeral would wonderfully inappropriate,5,54203.09516872565,rock
fall blindness post punk,0,53696.495168725654,rock
john clark bailey jr holographic garden,0,53415.895168725656,rock
guns n roses civil war use illusion ii,4,55046.72850205898,rock
hinder take limit,0,54606.34516872565,rock
fall man whose head expanded post punk,0,55221.79516872566,rock
pink fly peachy,2,54791.66183539231,rock
wicked jackals gonna change,0,54961.07850205898,rock
favorite rock band,11,54888.82850205898,rock
need help finding song,4,55039.17850205898,rock
help w song,19,55775.77850205899,rock
dani rosenoer legacy official music video,0,55289.52850205899,rock
black star riders underneath afterglow ffo thin lizzy,0,55090.36183539232,rock
beatles let,6,56859.378502058986,rock
bullseyes yet polish rock duo low budget video expense roses semi bavarian styling generally lotta quirky stuff happens guys think,0,56071.378502058986,rock
angus young duck walk,3,56059.42850205898,rock
june spirit lip sync one,0,56064.16183539231,rock
due onslaught grunge ceremony overlooked album time assessed nowadays impartially without hype found contain cult best work one imho,1,56500.61183539232,rock
metallica unforgiven metallica official music video,1,56612.09516872565,rock
dollars delirious official video,0,56521.04516872566,rock
priests lelia,0,56550.628502058986,rock
spanish rock pop chords non blondes,0,56962.29516872566,rock
happy birthday freddie mercury,2,58438.378502058986,rock
pendejo released new video heavy latino rock trumpet trombone hilarious spanish lyrics,0,57033.96183539232,rock
atomic lemons el mundo today pop rock,1,57109.81183539231,rock
neil young crazy horse sleeps angels,1,57504.02850205897,rock
matt rozman quirky official audio,0,57430.828502058976,rock
heart dreams live az,0,57665.011835392324,rock
question paramore part eternal rock canon,4,57801.128502058986,rock
bread greatest soft rock band ever think,6,57794.19516872565,rock
dirty mac yer blues,4,58466.761835392324,rock
h u witching hour music video new single,0,57718.761835392324,rock
shaka ponk eloquent,4,58331.761835392324,rock
shark,1,58176.69516872565,rock
school final project created mega forum almost every rock artist album date,5,59462.59516872565,rock
steppenwolf,2,58214.52850205897,rock
cult influence doors pink floyd years sonic temple drive car looking rear view mirror,1,59247.02850205897,rock
tom waits goin west,1,59180.761835392324,rock
weezer king world,2,59684.02850205897,rock
could create supergroup heaven made dead musicians would,18,59281.79516872566,rock
shark california grrls,6,59711.495168725654,rock
guided voices stitches,0,59132.145168725656,rock
intro mashup song,0,59349.395168725656,rock
blackstratblues tejas love song truth,0,59644.19516872565,rock
otras voces vamos escapar,0,59446.47850205898,rock
onerepublic counting stars,9,60239.46183539232,rock
qingmu ching moo strong woman,0,59566.511835392324,rock
scorpions wind change,5,60968.578502058976,rock
slinky red candy psych rock,0,60032.745168725654,rock
fluid ounces shamrock,0,59699.411835392326,rock
kansas dust wind,1,60967.145168725656,rock
wukong monkey king punk hard rock jazz,0,60442.21183539232,rock
feeder come back around,0,60509.645168725656,rock
mercyful fate come sabbath,0,60802.47850205898,rock
mokomokai release world sorrow official video,0,60675.72850205898,rock
black house hill johnnie walker,0,61230.46183539232,rock
simon garfunkel sounds silence,1,60961.511835392324,rock
wolf people returns,0,60759.645168725656,rock
army anyone goodbye,0,60870.928502058974,rock
slint washer,2,62088.31183539231,rock
